# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC3270,25359,港湾・空港・海洋埋立工事,鋼製セル工
CDAC3270,25361,港湾・空港・海洋埋立工事,敷砂工
CDAC3270,25362,港湾・空港・海洋埋立工事,浮体工
CDAC3270,25363,港湾・空港・海洋埋立工事,基礎工
CDAC3270,26360,海洋工事,海洋工
CDAC3270,27370,その他のライフライン工事,その他のライフライン工
CDAC3270,28381,産業廃棄物工事,中間処理施設工
CDAC3270,28382,産業廃棄物工事,最終処分場工
CDAC3270,29390,塔・タンク・サイロ工事,塔・タンク・サイロ工
CDAC3270,30400,その他土木一式工事,その他土木一式工
CDAC3270,31411,建築一式工事,建築一式工
CDAC3270,32420,その他建築工事,その他建築工事
CDAC3270,33011,軟弱地盤処理工事,置換工法
CDAC3270,33012,軟弱地盤処理工事,プレローディング工法
CDAC3270,33013,軟弱地盤処理工事,表層混合処理工法
CDAC3270,33014,軟弱地盤処理工事,バーチカルドレーン工法
CDAC3270,33015,軟弱地盤処理工事,サンドコンパクション工法
CDAC3270,33016,軟弱地盤処理工事,ロッドコンパクション工法
CDAC3270,33017,軟弱地盤処理工事,バイブロフロテーション工法
CDAC3270,33018,軟弱地盤処理工事,石灰パイル工法
CDAC3270,33020,軟弱地盤処理工事,深層混合処理工法
CDAC3270,33028,軟弱地盤処理工事,ＤＣ工（動圧密工法）
CDAC3270,33029,軟弱地盤処理工事,サーチャージ工法
CDAC3270,33030,軟弱地盤処理工事,軽量土工法
CDAC3270,34019,軟弱地盤グラウト工事,薬液注入工法
CDAC3270,35440,ボーリンググラウト工事,ボーリンググラウト工
CDAC3270,36450,土留め・仮締切工事,土留め・仮締切工
CDAC3270,37023,鋼管矢板基礎工事,鋼管矢板基礎工
CDAC3270,38025,既製杭工事,既製杭工
CDAC3270,39026,場所打杭等工事,場所打杭工
CDAC3270,39027,場所打杭等工事,深礎杭工
CDAC3270,40024,地中連続壁工事,地中連続壁工
CDAC3270,41141,土工事,掘削または切土工
CDAC3270,41142,土工事,盛土または埋戻し工
CDAC3270,42120,法面工事,法面工
CDAC3270,43210,落石防止工事,落石防止工
CDAC3270,44220,なだれ防止工事,なだれ防止工
CDAC3270,45460,その他のとび・土工・コンクリート工事,その他のとび・土工・コンクリート工
CDAC3270,46280,構造物撤去工事,構造物撤去工
CDAC3270,47470,道路付属施設工事,道路付属施設工
CDAC3270,48480,道路清掃作業,道路清掃作業
CDAC3270,49490,石工事,石工
CDAC3270,50500,電気工事,建設電気設備工
CDAC3270,50501,電気工事,建築電気設備工
CDAC3270,51510,給排水衛生設備工事,給排水衛生設備工
CDAC3270,52520,空調設備工事,空調設備工
CDAC3270,53530,浄化槽設備等工事,浄化槽設備等工
CDAC3270,54540,タイル・れんが・ブロック工事,タイル・れんが・ブロック工
CDAC3270,55550,鉄骨・鉄塔・鋼製煙突工事,鉄骨・鉄塔・鋼製煙突工
CDAC3270,56260,鋼製橋脚工事,鋼製橋脚工
CDAC3270,57250,鋼橋上部工事,鋼橋上部工
CDAC3270,58561,水門扉等工事,河川用水門扉工
CDAC3270,58562,水門扉等工事,ダム用水門扉工
CDAC3270,58563,水門扉等工事,樋門・樋管扉工
CDAC3270,59570,プール・水槽・タンク等工事,プール・水槽・タンク等工
CDAC3270,60580,鉄筋工事,鉄筋工
CDAC3270,61230,アスファルト舗装工事,アスファルト舗装工
CDAC3270,62240,セメント・コンクリート舗装工事,セメントコンクリート舗装工
CDAC3270,63591,歩行者系舗装工事,歩行者系舗装工
CDAC3270,64592,路盤路床工事,路盤路床工
CDAC3270,65110,浚渫・床掘工事,浚渫工
CDAC3270,66600,塗装工事,塗装工
CDAC3270,67610,防水工事,防水工
CDAC3270,68621,機械器具設置工事,施工設備工
CDAC3270,68622,機械器具設置工事,ポンプ設備工
CDAC3270,68623,機械器具設置工事,トンネル換気設備工
CDAC3270,68624,機械器具設置工事,トンネル非常用設備工
CDAC3270,68625,機械器具設置工事,その他機械器具設置工
CDAC3270,68626,機械器具設置工事,エレベーター設備工
CDAC3270,69640,熱絶縁工事,熱絶縁工
CDAC3270,70650,通信工事,通信工
CDAC3270,71660,造園工事,造園工
CDAC3270,72670,さく井工事,さく井工
CDAC3270,73681,上水・工業用水道工事,取水総合施設工
CDAC3270,73682,上水・工業用水道工事,浄水場施設工
CDAC3270,73683,上水・工業用水道工事,送配水施設工
CDAC3270,73684,上水・工業用水道工事,導水施設工
CDAC3270,74690,下水道処理施設工事,下水道処理施設工
CDAC3270,75700,消防施設工事,消防施設工
CDAC3270,76711,清掃施設工事,中間処理施設工（清掃施設）
CDAC3270,76712,清掃施設工事,最終処分施設工（清掃施設）
CDAC3270,77720,維持修繕工事,維持修繕工

# コードＩＤ：CDAC3290  コード名：対象水系_路線名称  説明：対象水系_路線名称を示すコード。
# コードＩＤ,値,デコード文字列（正式名称）,デコード文字列（略称）
CDAC3290,11101,水系,一級水系 一級河川 直轄区間,天塩川水系
CDAC3290,11102,水系,一級水系 一級河川 直轄区間,留萌川水系
CDAC3290,11103,水系,一級水系 一級河川 直轄区間,石狩川水系
CDAC3290,11104,水系,一級水系 一級河川 直轄区間,尻別川水系
CDAC3290,11105,水系,一級水系 一級河川 直轄区間,後志利別川水系
CDAC3290,11106,水系,一級水系 一級河川 直轄区間,鵡川水系
CDAC3290,11107,水系,一級水系 一級河川 直轄区間,沙流川水系
CDAC3290,11108,水系,一級水系 一級河川 直轄区間,十勝川水系
CDAC3290,11109,水系,一級水系 一級河川 直轄区間,釧路川水系
CDAC3290,11110,水系,一級水系 一級河川 直轄区間,網走川水系
CDAC3290,11111,水系,一級水系 一級河川 直轄区間,常呂川水系
CDAC3290,11112,水系,一級水系 一級河川 直轄区間,湧別川水系
CDAC3290,11113,水系,一級水系 一級河川 直轄区間,渚滑川水系
CDAC3290,11201,水系,一級水系 一級河川 直轄区間,阿武隈川水系
CDAC3290,11202,水系,一級水系 一級河川 直轄区間,名取川水系
CDAC3290,11203,水系,一級水系 一級河川 直轄区間,鳴瀬川水系
CDAC3290,11204,水系,一級水系 一級河川 直轄区間,北上川水系
CDAC3290,11205,水系,一級水系 一級河川 直轄区間,馬淵川水系
CDAC3290,11206,水系,一級水系 一級河川 直轄区間,高瀬川水系
CDAC3290,11207,水系,一級水系 一級河川 直轄区間,岩木川水系
CDAC3290,11208,水系,一級水系 一級河川 直轄区間,米代川水系
CDAC3290,11209,水系,一級水系 一級河川 直轄区間,雄物川水系
CDAC3290,11210,水系,一級水系 一級河川 直轄区間,子吉川水系
CDAC3290,11211,水系,一級水系 一級河川 直轄区間,最上川水系
CDAC3290,11212,水系,一級水系 一級河川 直轄区間,赤川水系
CDAC3290,11301,水系,一級水系 一級河川 直轄区間,久慈川水系
CDAC3290,11302,水系,一級水系 一級河川 直轄区間,那珂川水系
CDAC3290,11303,水系,一級水系 一級河川 直轄区間,利根川水系
CDAC3290,11304,水系,一級水系 一級河川 直轄区間,荒川水系
CDAC3290,11305,水系,一級水系 一級河川 直轄区間,多摩川水系
CDAC3290,11306,水系,一級水系 一級河川 直轄区間,鶴見川水系
