# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC3330,1416998,鋼構造・コンクリート,橋梁,施工管理・積算,その他,鉄道
CDAC3330,1416999,鋼構造・コンクリート,橋梁,施工管理・積算,その他,その他
CDAC3330,1417011,鋼構造・コンクリート,橋梁,維持管理,点検,河川
CDAC3330,1417012,鋼構造・コンクリート,橋梁,維持管理,点検,砂防
CDAC3330,1417013,鋼構造・コンクリート,橋梁,維持管理,点検,ダム
CDAC3330,1417014,鋼構造・コンクリート,橋梁,維持管理,点検,海岸
CDAC3330,1417015,鋼構造・コンクリート,橋梁,維持管理,点検,港湾
CDAC3330,1417016,鋼構造・コンクリート,橋梁,維持管理,点検,空港
CDAC3330,1417017,鋼構造・コンクリート,橋梁,維持管理,点検,道路
CDAC3330,1417018,鋼構造・コンクリート,橋梁,維持管理,点検,鉄道
CDAC3330,1417019,鋼構造・コンクリート,橋梁,維持管理,点検,その他
CDAC3330,1417021,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,河川
CDAC3330,1417022,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,砂防
CDAC3330,1417023,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,ダム
CDAC3330,1417024,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,海岸
CDAC3330,1417025,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,港湾
CDAC3330,1417026,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,空港
CDAC3330,1417027,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,道路
CDAC3330,1417028,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,鉄道
CDAC3330,1417029,鋼構造・コンクリート,橋梁,維持管理,損傷・変状調査,その他
CDAC3330,1417031,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,河川
CDAC3330,1417032,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,砂防
CDAC3330,1417033,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,ダム
CDAC3330,1417034,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,海岸
CDAC3330,1417035,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,港湾
CDAC3330,1417036,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,空港
CDAC3330,1417037,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,道路
CDAC3330,1417038,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,鉄道
CDAC3330,1417039,鋼構造・コンクリート,橋梁,維持管理,維持・補修計画,その他
CDAC3330,1417041,鋼構造・コンクリート,橋梁,維持管理,塗装設計,河川
CDAC3330,1417042,鋼構造・コンクリート,橋梁,維持管理,塗装設計,砂防
CDAC3330,1417043,鋼構造・コンクリート,橋梁,維持管理,塗装設計,ダム
CDAC3330,1417044,鋼構造・コンクリート,橋梁,維持管理,塗装設計,海岸
CDAC3330,1417045,鋼構造・コンクリート,橋梁,維持管理,塗装設計,港湾
CDAC3330,1417046,鋼構造・コンクリート,橋梁,維持管理,塗装設計,空港
CDAC3330,1417047,鋼構造・コンクリート,橋梁,維持管理,塗装設計,道路
CDAC3330,1417048,鋼構造・コンクリート,橋梁,維持管理,塗装設計,鉄道
CDAC3330,1417049,鋼構造・コンクリート,橋梁,維持管理,塗装設計,その他
CDAC3330,1417991,鋼構造・コンクリート,橋梁,維持管理,その他,河川
CDAC3330,1417992,鋼構造・コンクリート,橋梁,維持管理,その他,砂防
CDAC3330,1417993,鋼構造・コンクリート,橋梁,維持管理,その他,ダム
CDAC3330,1417994,鋼構造・コンクリート,橋梁,維持管理,その他,海岸
CDAC3330,1417995,鋼構造・コンクリート,橋梁,維持管理,その他,港湾
CDAC3330,1417996,鋼構造・コンクリート,橋梁,維持管理,その他,空港
CDAC3330,1417997,鋼構造・コンクリート,橋梁,維持管理,その他,道路
CDAC3330,1417998,鋼構造・コンクリート,橋梁,維持管理,その他,鉄道
CDAC3330,1417999,鋼構造・コンクリート,橋梁,維持管理,その他,その他
CDAC3330,1418001,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,河川
CDAC3330,1418002,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,砂防
CDAC3330,1418003,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,ダム
CDAC3330,1418004,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,海岸
CDAC3330,1418005,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,港湾
CDAC3330,1418006,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,空港
CDAC3330,1418007,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,道路
CDAC3330,1418008,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,鉄道
CDAC3330,1418009,鋼構造・コンクリート,橋梁,記録・広報（ＰＲ）,記録・広報（ＰＲ）,その他
CDAC3330,1419001,鋼構造・コンクリート,橋梁,その他,その他,河川
CDAC3330,1419002,鋼構造・コンクリート,橋梁,その他,その他,砂防
CDAC3330,1419003,鋼構造・コンクリート,橋梁,その他,その他,ダム
CDAC3330,1419004,鋼構造・コンクリート,橋梁,その他,その他,海岸
CDAC3330,1419005,鋼構造・コンクリート,橋梁,その他,その他,港湾
CDAC3330,1419006,鋼構造・コンクリート,橋梁,その他,その他,空港
CDAC3330,1419007,鋼構造・コンクリート,橋梁,その他,その他,道路
CDAC3330,1419008,鋼構造・コンクリート,橋梁,その他,その他,鉄道
CDAC3330,1419009,鋼構造・コンクリート,橋梁,その他,その他,その他
CDAC3330,1421001,鋼構造・コンクリート,現橋拡幅,企画,企画,河川
CDAC3330,1421002,鋼構造・コンクリート,現橋拡幅,企画,企画,砂防
CDAC3330,1421003,鋼構造・コンクリート,現橋拡幅,企画,企画,ダム
CDAC3330,1421004,鋼構造・コンクリート,現橋拡幅,企画,企画,海岸
CDAC3330,1421005,鋼構造・コンクリート,現橋拡幅,企画,企画,港湾
CDAC3330,1421006,鋼構造・コンクリート,現橋拡幅,企画,企画,空港
CDAC3330,1421007,鋼構造・コンクリート,現橋拡幅,企画,企画,道路
CDAC3330,1421008,鋼構造・コンクリート,現橋拡幅,企画,企画,鉄道
CDAC3330,1421009,鋼構造・コンクリート,現橋拡幅,企画,企画,その他
CDAC3330,1422001,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,河川
CDAC3330,1422002,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,砂防
CDAC3330,1422003,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,ダム
CDAC3330,1422004,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,海岸
CDAC3330,1422005,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,港湾
CDAC3330,1422006,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,空港
CDAC3330,1422007,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,道路
CDAC3330,1422008,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,鉄道
CDAC3330,1422009,鋼構造・コンクリート,現橋拡幅,調査・計画,調査・計画,その他
CDAC3330,1423001,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,河川
CDAC3330,1423002,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,砂防
CDAC3330,1423003,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,ダム
CDAC3330,1423004,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,海岸
CDAC3330,1423005,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,港湾
CDAC3330,1423006,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,空港
CDAC3330,1423007,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,道路
CDAC3330,1423008,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,鉄道
CDAC3330,1423009,鋼構造・コンクリート,現橋拡幅,基本（予備・概略）設計,基本（予備・概略）設計,その他
CDAC3330,1424011,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,河川
CDAC3330,1424012,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,砂防
CDAC3330,1424013,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,ダム
CDAC3330,1424014,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,海岸
CDAC3330,1424015,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,港湾
CDAC3330,1424016,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,空港
CDAC3330,1424017,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,道路
CDAC3330,1424018,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,鉄道
CDAC3330,1424019,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（プレートガーダー）,その他
CDAC3330,1424021,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,河川
CDAC3330,1424022,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,砂防
CDAC3330,1424023,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,ダム
CDAC3330,1424024,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,海岸
CDAC3330,1424025,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,港湾
CDAC3330,1424026,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,空港
CDAC3330,1424027,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,道路
CDAC3330,1424028,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,鉄道
CDAC3330,1424029,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（トラス）,その他
CDAC3330,1424031,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,河川
CDAC3330,1424032,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,砂防
CDAC3330,1424033,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,ダム
CDAC3330,1424034,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,海岸
CDAC3330,1424035,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,港湾
CDAC3330,1424036,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,空港
CDAC3330,1424037,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,道路
CDAC3330,1424038,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,鉄道
CDAC3330,1424039,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（ラーメン）,その他
CDAC3330,1424041,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,河川
CDAC3330,1424042,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,砂防
CDAC3330,1424043,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,ダム
CDAC3330,1424044,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,海岸
CDAC3330,1424045,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,港湾
CDAC3330,1424046,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,空港
CDAC3330,1424047,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,道路
CDAC3330,1424048,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,鉄道
CDAC3330,1424049,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（アーチ）,その他
CDAC3330,1424051,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,河川
CDAC3330,1424052,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,砂防
CDAC3330,1424053,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,ダム
CDAC3330,1424054,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,海岸
CDAC3330,1424055,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,港湾
CDAC3330,1424056,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,空港
CDAC3330,1424057,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,道路
CDAC3330,1424058,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,鉄道
CDAC3330,1424059,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（吊橋）,その他
CDAC3330,1424061,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,河川
CDAC3330,1424062,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,砂防
CDAC3330,1424063,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,ダム
CDAC3330,1424064,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,海岸
CDAC3330,1424065,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,港湾
CDAC3330,1424066,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,空港
CDAC3330,1424067,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,道路
CDAC3330,1424068,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,鉄道
CDAC3330,1424069,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（斜張橋）,その他
CDAC3330,1424071,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,河川
CDAC3330,1424072,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,砂防
CDAC3330,1424073,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,ダム
CDAC3330,1424074,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,海岸
CDAC3330,1424075,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,港湾
CDAC3330,1424076,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,空港
CDAC3330,1424077,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,道路
CDAC3330,1424078,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,鉄道
CDAC3330,1424079,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼上部工（その他）,その他
CDAC3330,1424081,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,河川
CDAC3330,1424082,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,砂防
CDAC3330,1424083,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,ダム
CDAC3330,1424084,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,海岸
CDAC3330,1424085,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,港湾
CDAC3330,1424086,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,空港
CDAC3330,1424087,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,道路
CDAC3330,1424088,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,鉄道
CDAC3330,1424089,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＲＣ上部工,その他
CDAC3330,1424091,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,河川
CDAC3330,1424092,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,砂防
CDAC3330,1424093,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,ダム
CDAC3330,1424094,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,海岸
CDAC3330,1424095,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,港湾
CDAC3330,1424096,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,空港
CDAC3330,1424097,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,道路
CDAC3330,1424098,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,鉄道
CDAC3330,1424099,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（プレテン桁）,その他
CDAC3330,1424101,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,河川
CDAC3330,1424102,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,砂防
CDAC3330,1424103,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,ダム
CDAC3330,1424104,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,海岸
CDAC3330,1424105,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,港湾
CDAC3330,1424106,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,空港
CDAC3330,1424107,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,道路
CDAC3330,1424108,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,鉄道
CDAC3330,1424109,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ポステン桁）,その他
CDAC3330,1424111,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,河川
CDAC3330,1424112,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,砂防
CDAC3330,1424113,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,ダム
CDAC3330,1424114,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,海岸
CDAC3330,1424115,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,港湾
CDAC3330,1424116,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,空港
CDAC3330,1424117,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,道路
CDAC3330,1424118,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,鉄道
CDAC3330,1424119,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（場所打桁）,その他
CDAC3330,1424121,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,河川
CDAC3330,1424122,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,砂防
CDAC3330,1424123,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,ダム
CDAC3330,1424124,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,海岸
CDAC3330,1424125,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,港湾
CDAC3330,1424126,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,空港
CDAC3330,1424127,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,道路
CDAC3330,1424128,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,鉄道
CDAC3330,1424129,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（ラーメン）,その他
CDAC3330,1424131,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,河川
CDAC3330,1424132,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,砂防
CDAC3330,1424133,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,ダム
CDAC3330,1424134,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,海岸
CDAC3330,1424135,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,港湾
CDAC3330,1424136,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,空港
CDAC3330,1424137,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,道路
CDAC3330,1424138,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,鉄道
CDAC3330,1424139,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（アーチ）,その他
CDAC3330,1424141,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,河川
CDAC3330,1424142,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,砂防
CDAC3330,1424143,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,ダム
CDAC3330,1424144,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,海岸
CDAC3330,1424145,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,港湾
CDAC3330,1424146,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,空港
CDAC3330,1424147,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,道路
CDAC3330,1424148,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,鉄道
CDAC3330,1424149,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（斜張橋）,その他
CDAC3330,1424151,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,河川
CDAC3330,1424152,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,砂防
CDAC3330,1424153,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,ダム
CDAC3330,1424154,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,海岸
CDAC3330,1424155,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,港湾
CDAC3330,1424156,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,空港
CDAC3330,1424157,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,道路
CDAC3330,1424158,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,鉄道
CDAC3330,1424159,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,ＰＣ上部工（その他）,その他
CDAC3330,1424161,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,河川
CDAC3330,1424162,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,砂防
CDAC3330,1424163,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,ダム
CDAC3330,1424164,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,海岸
CDAC3330,1424165,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,港湾
CDAC3330,1424166,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,空港
CDAC3330,1424167,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,道路
CDAC3330,1424168,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,鉄道
CDAC3330,1424169,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,鋼製下部工,その他
CDAC3330,1424171,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,河川
CDAC3330,1424172,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,砂防
CDAC3330,1424173,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,ダム
CDAC3330,1424174,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,海岸
CDAC3330,1424175,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,港湾
CDAC3330,1424176,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,空港
CDAC3330,1424177,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,道路
CDAC3330,1424178,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,鉄道
CDAC3330,1424179,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,コンクリート下部工,その他
CDAC3330,1424991,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,河川
CDAC3330,1424992,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,砂防
CDAC3330,1424993,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,ダム
CDAC3330,1424994,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,海岸
CDAC3330,1424995,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,港湾
CDAC3330,1424996,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,空港
CDAC3330,1424997,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,道路
CDAC3330,1424998,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,鉄道
CDAC3330,1424999,鋼構造・コンクリート,現橋拡幅,実施（詳細）設計,その他,その他
CDAC3330,1425001,鋼構造・コンクリート,現橋拡幅,施工計画,施工計画,河川
CDAC3330,1425002,鋼構造・コンクリート,現橋拡幅,施工計画,施工計画,砂防
CDAC3330,1425003,鋼構造・コンクリート,現橋拡幅,施工計画,施工計画,ダム
CDAC3330,1425004,鋼構造・コンクリート,現橋拡幅,施工計画,施工計画,海岸
CDAC3330,1425005,鋼構造・コンクリート,現橋拡幅,施工計画,施工計画,港湾
CDAC3330,1425006,鋼構造・コンクリート,現橋拡幅,施工計画,施工計画,空港
